service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
272.0.1,1,1,1,1,1,0,0,20250113,20250425
272.0.2,0,0,0,0,0,1,0,20250118,20250426
272.0.3,0,0,0,0,0,0,1,20250119,20250427
272.100.1,1,1,0,1,0,0,0,20250113,20250424
272.102.1,1,0,1,0,1,0,0,20250113,20250425
272.103.1,0,1,0,1,0,0,0,20250114,20250424
272.108.1,0,1,0,1,0,0,0,20250114,20250424
272.109.1,1,0,1,0,1,0,0,20250113,20250425
272.1175.1,1,0,0,0,0,0,0,20250120,20250421
272.120.1,0,0,1,0,0,0,0,20250115,20250423
272.121.1,0,0,1,0,1,0,0,20250115,20250425
272.131.1,1,1,1,1,1,0,0,20250113,20250425
272.1487.1,1,1,1,1,1,1,1,20250131,20250207
272.1487.2,1,1,1,1,1,1,1,20250201,20250208
272.1487.3,1,1,1,1,1,1,1,20250202,20250209
272.1488.1,1,1,1,1,1,1,1,20250213,20250218
272.1488.2,1,1,1,1,1,1,1,20250215,20250215
272.1488.3,1,1,1,1,1,1,1,20250216,20250216
272.150.1,1,1,1,1,1,0,0,20250113,20250425
272.151.1,0,1,0,1,0,0,0,20250114,20250424
272.152.1,0,0,1,0,1,0,0,20250115,20250425
272.1545.1,1,1,0,1,0,0,0,20250113,20250424
272.155.1,0,0,1,0,1,0,0,20250115,20250425
272.1566.1,1,1,1,1,1,0,0,20250113,20250425
272.1567.1,1,1,1,1,0,0,0,20250127,20250424
272.157.1,0,0,1,0,1,0,0,20250115,20250425
272.159.1,1,1,1,1,1,0,0,20250113,20250425
272.160.1,1,1,1,1,1,0,0,20250120,20250418
272.161.1,0,0,1,0,1,0,0,20250115,20250425
272.171.1,1,1,1,1,1,0,0,20250113,20250425
272.173.1,1,1,0,1,0,0,0,20250113,20250424
272.176.1,1,0,0,0,0,0,0,20250113,20250421
272.177.1,0,1,1,1,1,0,0,20250114,20250425
272.178.1,1,1,1,1,1,0,0,20250113,20250425
272.179.1,1,1,1,1,1,0,0,20250120,20250418
272.180.1,0,0,1,0,1,0,0,20250115,20250425
272.182.1,1,1,0,1,0,0,0,20250113,20250424
272.1827.1,1,1,0,0,1,0,0,20250113,20250418
272.1828.1,0,0,0,1,0,0,0,20250116,20250417
272.1843.1,1,1,1,0,1,0,0,20250113,20250425
272.191.1,1,1,0,1,0,0,0,20250113,20250424
272.1919.1,1,1,1,1,1,0,0,20250113,20250425
272.1921.1,0,0,1,0,1,0,0,20250115,20250425
272.1923.1,1,0,0,0,0,0,0,20250120,20250421
272.1924.1,1,1,1,1,1,0,0,20250120,20250418
272.193.1,0,0,1,0,1,0,0,20250115,20250425
272.2050.1,0,0,0,0,1,0,0,20250113,20250425
272.2068.1,1,1,1,1,1,0,0,20250113,20250425
272.2069.1,1,1,1,1,1,0,0,20250113,20250425
272.2070.1,1,1,0,1,0,0,0,20250113,20250424
272.2071.1,1,0,0,0,0,0,0,20250113,20250421
272.2075.1,1,1,1,1,1,0,0,20250113,20250425
272.2082.1,1,1,1,1,1,0,0,20250113,20250425
272.2093.1,0,1,1,1,1,0,0,20250114,20250425
272.2152.1,0,0,1,0,1,0,0,20250115,20250425
272.2153.1,1,1,0,1,0,0,0,20250113,20250424
272.2179.1,1,1,1,1,1,0,0,20250120,20250411
272.2321.1,1,1,1,1,1,0,0,20250120,20250411
272.2348.1,1,1,1,1,1,0,0,20250113,20250425
272.2349.1,1,1,1,1,1,0,0,20250113,20250425
272.2491.1,0,0,0,1,0,0,0,20250116,20250417
272.2561.1,0,0,1,0,0,0,0,20250115,20250416
272.2562.1,1,1,0,1,1,0,0,20250113,20250425
272.2658.1,1,1,1,1,1,0,0,20250113,20250425
272.2658.2,0,0,0,0,0,1,0,20250118,20250426
272.2658.3,0,0,0,0,0,0,1,20250119,20250427
272.2969.1,1,1,1,1,1,0,0,20250113,20250425
272.2969.2,0,0,0,0,0,1,0,20250118,20250426
272.2969.3,0,0,0,0,0,0,1,20250119,20250427
272.2970.1,1,1,1,1,1,0,0,20250113,20250425
